date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:23	159/159	---M-Z	200	added ('OK')	text/plain	etag:%22148-6034f0a150444-gzip%22	https://addictionbets.com/robots.txt		(from )
15:48:24	212263/212263	---M-Z	200	added ('OK')	text/html	etag:%2233d27-605a9ae6e5006-gzip%22	https://addictionbets.com/	C:/Users/phong.SSS/Desktop/Resource/BetPrice/addictionbets.com/index.html	(from )
15:48:25	122191/122191	---M--	200	added ('OK')	image/png	etag:%22cf264d31f0e4c0736174b33c28eed196%22	https://static.tildacdn.com/tild3136-3365-4562-b233-653937353437/_.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild3136-3365-4562-b233-653937353437/_.png	(from https://addictionbets.com/)
15:48:25	1918/1918	---MCZ	200	added ('OK')	application/javascript	etag:W/%226458dcb3-77e%22	https://neo.tildacdn.com/js/tilda-fallback-1.0.min.js	C:/Users/phong.SSS/Desktop/Resource/BetPrice/neo.tildacdn.com/js/tilda-fallback-1.0.min.js	(from https://addictionbets.com/)
15:48:26	4514/4514	---MCZ	200	added ('OK')	text/css	etag:W/%2263f4be99-11a2%22	https://static.tildacdn.com/css/tilda-grid-3.0.min.css	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/css/tilda-grid-3.0.min.css	(from https://addictionbets.com/)
15:48:26	6058/6058	---M-Z	200	added ('OK')	text/css	etag:%2217aa-605a9ae64cf74-gzip%22	https://addictionbets.com/tilda-blocks-page38953192.min.css?t=1695076193	C:/Users/phong.SSS/Desktop/Resource/BetPrice/addictionbets.com/tilda-blocks-page38953192.min967a.css	(from https://addictionbets.com/)
15:48:27	2723/2723	---MCZ	200	added ('OK')	text/css	etag:W/%2263ac1e24-aa3%22	https://static.tildacdn.com/css/tilda-animation-2.0.min.css	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/css/tilda-animation-2.0.min.css	(from https://addictionbets.com/)
15:48:27	6935/6935	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264e77010-1b17%22	https://static.tildacdn.com/js/tilda-polyfill-1.0.min.js	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/js/tilda-polyfill-1.0.min.js	(from https://addictionbets.com/)
15:48:27	93064/93064	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260852438-16b88%22	https://static.tildacdn.com/js/jquery-1.10.2.min.js	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/js/jquery-1.10.2.min.js	(from https://addictionbets.com/)
15:48:28	340/340	---M--	404	error ('Not%20Found')	text/html	etag:%22154-56d5bbe607fc0%22	https://addictionbets.com/OPR/	C:/Users/phong.SSS/Desktop/Resource/BetPrice/addictionbets.com/OPR/index.html	(from https://addictionbets.com/)
15:48:28	19140/19140	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a51728-4ac4%22	https://static.tildacdn.com/js/tilda-scripts-3.0.min.js	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/js/tilda-scripts-3.0.min.js	(from https://addictionbets.com/)
15:48:28	18/18	---M--	200	added ('OK')	application/javascript	etag:%2212-605a9ae64a511%22	https://addictionbets.com/tilda-blocks-page38953192.min.js?t=1695076193	C:/Users/phong.SSS/Desktop/Resource/BetPrice/addictionbets.com/tilda-blocks-page38953192.min967a.js	(from https://addictionbets.com/)
15:48:28	47244/47244	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f5a858-b88c%22	https://static.tildacdn.com/js/tilda-animation-2.0.min.js	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/js/tilda-animation-2.0.min.js	(from https://addictionbets.com/)
15:48:29	22465/22465	---MCZ	200	added ('OK')	application/javascript	etag:W/%226502ceef-57c1%22	https://static.tildacdn.com/js/tilda-zero-1.1.min.js	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/js/tilda-zero-1.1.min.js	(from https://addictionbets.com/)
15:48:29	36022/36022	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264e87b3a-8cb6%22	https://static.tildacdn.com/js/tilda-animation-sbs-1.0.min.js	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/js/tilda-animation-sbs-1.0.min.js	(from https://addictionbets.com/)
15:48:29	4639/4639	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f97c7c-121f%22	https://static.tildacdn.com/js/tilda-zero-scale-1.0.min.js	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/js/tilda-zero-scale-1.0.min.js	(from https://addictionbets.com/)
